Name,Year,Please,Type,Mass,Location,Notes
Kloster Schefftlar,1722,"Bayern, Germany",Doubtful meteorite,,"(48.400000, 11.733330)ææ",
Knyahinya,1866,"Zakarpats'ka, Ukraine",L/LL5,500 kg,"(48.900000, 22.400000)ææ",
Kobeæ**,1999,"Kinki, Japan",CK4,136 g,"(34.733330, 135.166670)ææ",
Kochiæ**,1949,"Shikoku, Japan",Doubtful stone,1.6 g,"(33.545000, 133.548060)ææ",
Kokubunjiæ**,1986,"Shikoku, Japan",L6,11.51 kg,"(34.300000, 133.950000)ææ",
Komagome,1926,"Kanto, Japan",Iron,238 g,"(35.733330, 139.750000)ææ",
Konovoæ**,1931,"Burgas, Bulgaria",LL5,90 g,"(42.516670, 26.166670)ææ",
Ko_iceæ**,2010,"Vychodoslovensky, Slovakia",H5,4.3 kg,"(48.763670, 21.176330)ææ",
Kr_henberg,1869,"Rheinland-Pfalz, Germany",LL5,16.5 kg,"(49.326940, 7.464720)ææ",
Krasnoi-Ugol,1829,"Ryazanskaya oblast', Russia",L6,2.44 kg,"(54.033330, 40.900000)ææ",
Krasnyi Klyuch,1946,"Respublika Bashkortostan, Russia",H5,4 kg,"(54.333330, 56.083330)ææ",
Kri_evciæ**,2011,Croatia,H6,291 g,"(46.038890, 16.589720)ææ",
Krutikhaæ**,1906,"Novosibirskaya oblast', Russia",OC,845 g,"(56.800000, 77.000000)ææ",
Krymka,1946,"Nikolayev, Ukraine",LL3.2,50 kg,"(47.833330, 30.766670)ææ",
Kukschin,1938,"Chernigov, Ukraine",L6,2.25 kg,"(51.150000, 31.700000)ææ",
Kulakæ**,1961,"Baluchistan, Pakistan",L5,454 g,"(30.731110, 66.802220)ææ",
Kuleschovka,1811,"Sumy, Ukraine",L6,6 kg,"(50.750000, 33.500000)ææ",
Kuli-schu,1827,China,Doubtful meteorite,,,
Kulp,1906,Armenia,H6,3.72 kg,"(41.116670, 45.000000)ææ",
Kunashakæ**,1949,"Chelyabinskaya oblast', Russia",L6,200 kg,"(55.783330, 61.366670)ææ",
Kunya-Urgenchæ**,1998,"Tashauz, Turkmenistan",H5,1.1 t,"(42.250000, 59.200000)ææ",
Kuresoiæ**,2014,"Rift Valley, Kenya",L6,555 g,"(-0.300000, 35.528920)ææ",
Kurumi,,"Kinki, Japan",Pseudometeorite,44 g,"(34.683330, 135.116670)ææ",
Kushiike,1920,"Tohoku, Japan",OC,4.46 kg,"(37.050000, 138.383330)ææ",
Kusiali,1860,"Uttar Pradesh, India",L6,5 g,"(29.683330, 78.383330)ææ",
Kutaisæ**,1977,"Krasnodarskiy kray, Russia",H5,23 g,"(44.516670, 39.300000)ææ",
Kuttippuram,1914,"Kerala, India",L6,45 kg,"(10.833330, 76.033330)ææ",
Kuznetzovo,1932,"Novosibirskaya oblast', Russia",L6,4.05 kg,"(55.200000, 75.333330)ææ",
La B_casse,1879,"Centre, France",L6,2.8 kg,"(47.083330, 1.750000)ææ",
La Charca,1878,"Guanajuato, Mexico",OC,399 g,"(20.666670, -101.283330)ææ",
La Colina,1924,"Buenos Aires, Argentina",H5,2 kg,"(-37.333330, -61.533330)ææ",
La Criollaæ**,1985,"Entre Rios, Argentina",L6,45 kg,"(-31.233330, -58.166670)ææ",
Laborel,1871,"Rhone-Alpes, France",H5,3.83 kg,"(44.283330, 5.583330)ææ",
Ladkeeæ**,2012,"Sind, Pakistan",H6,69 g,"(24.377780, 69.680560)ææ",
Lahrauliæ**,1955,"Uttar Pradesh, India",Ureilite,900 g,"(26.783330, 82.716670)ææ",
L'Aigle,1803,"Basse-Normandie, France",L6,37 kg,"(48.766670, 0.633330)ææ",
Lakangaon,1910,"Madhya Pradesh, India",Eucrite-mmict,213 g,"(21.866670, 76.033330)ææ",
Lalitpur,1887,"Uttar Pradesh, India",L6,372 g,"(24.450000, 78.566670)ææ",
Lanc_,1872,"Centre, France",CO3.5,51.7 kg,"(47.700000, 1.066670)ææ",
Lancon,1897,"Provence-Alpes-Cote d'Azur, France",H6,7 kg,"(43.750000, 5.116670)ææ",
Langeac,,"Auvergne, France",Pseudometeorite,,"(45.100000, 3.516670)ææ",
LÎnghalsenæ**,1947,"Sodermanlands, Sweden",L6,2.3 kg,"(58.850000, 16.733330)ææ",
Lanxiæ**,1986,"Heilongjiang, China",L6,1282 g,"(46.241670, 126.196110)ææ",
Lanzenkirchen,1925,"Niederosterreich, Austria",L4,7 kg,"(47.750000, 16.233330)ææ",
Laochenzhenæ**,1987,"Henan, China",H5,14.25 kg,"(33.133330, 115.166670)ææ",
Larissa,1706,"Thessalia, Greece",Doubtful meteorite,7.7 kg,"(39.633330, 22.416670)ææ",
Launton,1830,"England, UK",L6,1060 g,"(51.900000, -1.116670)ææ",
Lausanne,1894,"Vaud, Switzerland",Doubtful Iron,720 g,"(46.516670, 6.633330)ææ",
Lavrentievka,1938,"Orenburgskaya oblast', Russia",L6,800 g,"(52.450000, 51.566670)ææ",
Le Gould's Stone,1864,"Queensland, Australia",Pseudometeorite,,"(-23.416670, 148.916670)ææ",
Le Pressoir,1845,"Centre, France",H5,3 kg,"(47.166670, 0.433330)ææ",
Le Teilleul,1845,"Basse-Normandie, France",Howardite,780 g,"(48.533330, -0.866670)ææ",
Leedey,1943,"Oklahoma, USA",L6,51.5 kg,"(35.883330, -99.333330)ææ",
Leeuwfontein,1912,"Gauteng, South Africa",L6,460 g,"(-25.666670, 28.366670)ææ",
Legnano,1855,"Veneto, Italy",Pseudometeorite,2.01 kg,"(45.250000, 11.250000)ææ",
Leighlinbridge**,1999,"Leinster, Ireland",L6,271 g,"(52.666670, -6.966670)ææ",
Leighton,1907,"Alabama, USA",H5,877 g,"(34.583330, -87.500000)ææ",
Leonovka,1900,"Chernigov, Ukraine",L6,700 g,"(52.266670, 32.850000)ææ",
Les Ormes,1857,"Bourgogne, France",L6,125 g,"(48.350000, 3.250000)ææ",
Lesves,1896,"Namur, Belgium",L6,2 kg,"(50.366670, 4.733330)ææ",
Lichtenbergæ**,1973,"North West, South Africa",H6,4 kg,"(-26.150000, 26.183330)ææ",
Lillaverkeæ**,1930,"Kalmar, Sweden",H5,6.86 kg,"(56.650000, 15.866670)ææ",
Limerick,1813,"Munster, Ireland",H5,50 kg,"(52.566670, -8.783330)ææ",
Limousin,1540,"Limousin, France",Doubtful meteorite,,"(45.600000, 1.500000)ææ",
Linum,1854,"Brandenburg, Germany",L6,1862 g,"(52.750000, 12.900000)ææ",
Lishui,1978,"Jiangsu, China",L5,498 g,"(31.633330, 118.983330)ææ",
Lissa,1808,"Stredocesky, Czech Republic",L6,12.8 kg,"(50.200000, 14.850000)ææ",
Little Piney,1839,"Missouri, USA",L5,491 g,"(37.916670, -92.083330)ææ",
Lixna,1820,Latvia,H4,5.21 kg,"(56.000000, 26.433330)ææ",
Loch Tay,1802,"Scotland, UK",Doubtful meteorite,,"(56.533330, -4.166670)ææ",
Lodi,,Italy,Pseudometeorite,500 g,,
Lodran,1868,"Punjab, Pakistan",Lodranite,1000 g,"(29.533330, 71.800000)ææ",
Loerbeekæ**,,Netherlands,Pseudometeorite,,,
Lohawatæ**,1994,"Rajasthan, India",Howardite,40 kg,"(26.965560, 72.626670)ææ",
London,,"England, UK",Pseudometeorite,,"(51.516670, -0.166670)ææ",
Lortonæ**,2010,"Virginia, USA",L6,330 g,"(38.700660, -77.211630)ææ",
Los Martinez,1894,"Valenciana, Spain",L6,25 g,"(38.000000, -0.833330)ææ",
Lost Cityæ**,1970,"Oklahoma, USA",H5,17 kg,"(36.008330, -95.150000)ææ",
Louisvilleæ**,1977,"Kentucky, USA",L6,1300 g,"(38.250000, -85.750000)ææ",
Lowell,1846,"Massachusetts, USA",Doubtful meteorite,200 kg,"(42.683330, -71.350000)ææ",
_owicz,1935,"Skierniewice, Poland",Mesosiderite-A3,59 kg,"(52.000000, 19.916670)ææ",
Lua,1926,"Rajasthan, India",L5,9.24 kg,"(24.950000, 75.150000)ææ",
Lucania,-56,"Basilicata, Italy",Doubtful Iron,,"(40.500000, 16.000000)ææ",
Luc_,1768,"Pays de la Loire, France",L6,3.5 kg,"(47.850000, 0.483330)ææ",
Lumpkin,1869,"Georgia, USA",L6,340 g,"(32.033330, -84.766670)ææ",
Lunan,1980,"Yunnan, China",H6,2.52 kg,"(24.800000, 103.300000)ææ",
LundsgÎrdæ**,1889,"Kristianstads, Sweden",L6,11 kg,"(56.216670, 13.033330)ææ",
Luotolax,1813,"Kymi, Finland",Howardite,885 g,"(61.200000, 27.700000)ææ",
Luponnas,1753,"Rhone-Alpes, France",H3-5,14 kg,"(46.216670, 5.000000)ææ",
Lusaka,1951,"Shaba, Congo - Dem. Rep.",Unknown,,"(-7.216670, 29.433330)ææ",
Mabwe-Khoywa,1937,"Kayah State, Burma",L5,540 g,"(19.000000, 97.000000)ææ",
Macatuba,1951,,Doubtful meteorite,,,
Macau,1836,"Rio Grande do Norte, Brazil",H5,1500 g,"(-5.200000, -36.666670)ææ",
Machingaæ**,1981,"Southern, Malawi",L6,93.2 kg,"(-15.212220, 35.242220)ææ",
Macibini,1936,"KwaZulu/Natal, South Africa",Eucrite-pmict,1995 g,"(-28.833330, 31.950000)ææ",
Madhipura,1950,"Bihar, India",L,1000 g,"(25.916670, 86.366670)ææ",
Madiunæ**,1935,"Jawa Timur, Indonesia",L6,400 g,"(-7.750000, 111.533330)ææ",
Madrid,1896,"Madrid, Spain",L6,400 g,"(40.416670, -3.716670)ææ",
Mafra,1941,"Santa Catarina, Brazil",L3-4,600 g,"(-26.166670, -49.933330)ææ",
Magdeburg,998,"Sachsen-Anhalt, Germany",Doubtful meteorite,,"(52.133330, 11.633330)ææ",
Magnesia,1899,"Aydin, Turkey","Iron, IAB-sHL",5 kg,"(37.866670, 27.516670)ææ",
Magombedzeæ**,1990,"Masvingo, Zimbabwe",H3-5,667 g,"(-19.483330, 31.650000)ææ",
Mahadevpuræ**,2007,"Arunachal Pradesh, India",H4/5,70.5 kg,"(27.666670, 95.783330)ææ",
Maigatari-Danduma**,2004,"Zinder, Niger",H5/6,4.63 kg,"(12.833330, 9.383330)ææ",
Majorca,1935,"Isles Baleares, Spain",Doubtful Iron,824 g,"(39.450000, 2.816670)ææ",NHM-change to doubtfulæ
Malaga,1933,"New Mexico, USA",OC,150 g,"(32.216670, -104.000000)ææ",
Malakalæ**,1970,South Sudan,L5,2 kg,"(9.500000, 31.750000)ææ",
Malampaka,1930,"Shinyanga, Tanzania",H,470 g,"(-3.133330, 33.516670)ææ",
Malotas,1931,"Santiago del Estero, Argentina",H5,,"(-28.933330, -63.233330)ææ",
Malpas,1813,"Wales, UK",Doubtful meteorite,,"(53.016670, -2.850000)ææ",
Malvernæ**,1933,"Free State, South Africa",Eucrite-pmict,807 g,"(-29.450000, 26.766670)ææ",
Mamra Springs,1927,"Kzyl-Orda, Kazakhstan",L6,1000 g,"(45.216670, 62.083330)ææ",
Manbhoom,1863,"West Bengal, India",LL6,1700 g,"(23.050000, 86.700000)ææ",
Manegaon,1843,"Maharashtra, India",Diogenite,50 g,"(20.966670, 76.100000)ææ",
Mangwendi,1934,"Mashonaland East, Zimbabwe",LL6,22.3 kg,"(-17.650000, 31.600000)ææ",
Manychæ**,1951,"Kalmykiya-Khal'mg Tangch, Russia",LL3.4,3.56 kg,"(45.816670, 44.633330)ææ",
Mar del Plata,,"Buenos Aires, Argentina",Pseudometeorite,,"(-38.000000, -57.533330)ææ",
Mardanæ**,1948,"North-west Frontier, Pakistan",H5,4.5 kg,"(34.233330, 72.083330)ææ",
Maria Linden,1925,South Africa,L4,114 g,,
Mariaville,1898,"Nebraska, USA",Iron,340 g,"(42.716670, -99.383330)ææ",
Mariboæ**,2009,"Region Sjaelland, Denmark",CM2,25.8 g,"(54.761830, 11.467450)ææ",
Maridiæ**,1941,South Sudan,H6,3.2 kg,"(4.666670, 29.250000)ææ",
Mariliaæ**,1971,"Sao Paulo, Brazil",H4,2.5 kg,"(-22.250000, -49.933330)ææ",
Marion (Iowa),1847,"Iowa, USA",L6,28.4 kg,"(41.900000, -91.600000)ææ",
Marjalahti,1902,"Respublika Kareliya, Russia","Pallasite, PMG",45 kg,"(61.500000, 30.500000)ææ",
Marmande,1848,"Aquitaine, France",L5,3 kg,"(44.500000, 0.150000)ææ",
Maromandiaæ**,2002,"Mahajanga, Madagascar",L6,6 kg,"(-14.200000, 48.100000)ææ",
Marsala,1834,"Sicilia, Italy",Doubtful meteorite,6.8 kg,"(37.783330, 12.416670)ææ",
Maryvilleæ**,1983,"Tennessee, USA",L6,1443 g,"(35.800000, -84.100000)ææ",
Mascombes,1836,"Limousin, France",L6,1000 g,"(45.366670, 1.866670)ææ",
Mason Gullyæ**,2010,"Western Australia, Australia",H5,24.5 g,,
Massa-Lubrense,1819,"Campania, Italy",Doubtful meteorite,,"(40.600000, 14.333330)ææ",
M_ssing,1803,"Bayern, Germany",Howardite,1600 g,"(48.133330, 12.616670)ææ",
Mauerkirchen,1768,"Oberosterreich, Austria",L6,19 kg,"(48.183330, 13.133330)ææ",
Mauritiusæ**,1801,Mauritius,LL5-6,220 g,"(-20.000000, 57.000000)ææ",
Mayo Belwaæ**,1974,"Adamawa, Nigeria",Aubrite,4.85 kg,"(8.966670, 12.083330)ææ",
Mazapil,1885,"Zacatecas, Mexico","Iron, IAB-sLL",4 kg,"(24.683330, -101.683330)ææ",
Maziba,1942,"Southern, Uganda",L6,4.98 kg,"(-1.216670, 30.000000)ææ",
Mbaleæ**,1992,"Eastern, Uganda",L5/6,150 kg,"(1.066670, 34.166670)ææ",
Medanitosæ**,1953,"Catamarca, Argentina",Eucrite-cm,31 g,"(-27.250000, -67.500000)ææ",
Meerut,1861,"Uttar Pradesh, India",H5,22 g,"(29.016670, 77.800000)ææ",
Meester-Cornelis,1915,"Jakarta Raya, Indonesia",H5,24.75 kg,"(-6.233330, 106.883330)ææ",
Meissen,1164,"Sachsen, Germany",Doubtful Iron,,"(51.150000, 13.466670)ææ",
Menabilly,,"England, UK",Pseudometeorite,,"(50.316670, -4.666670)ææ",
Menow,1862,"Brandenburg, Germany",H4,10.5 kg,"(53.183330, 13.150000)ææ",
Menziswylæ**,1903,"Fribourg, Switzerland",L5,28.9 g,"(46.818670, 7.218170)ææ",
Mern,1878,"Region Sjaelland, Denmark",L6,4 kg,"(55.050000, 12.066670)ææ",
Meru,1945,"Eastern, Kenya",LL6,6 kg,"(0.000000, 37.666670)ææ",
Merua,1920,"Uttar Pradesh, India",H5,71.4 kg,"(25.483330, 81.983330)ææ",
Messina,1955,"Sicilia, Italy",L5,2.41 kg,"(38.183330, 15.566670)ææ",
Meuselbach,1897,"Thuringen, Germany",L6,870 g,"(50.583330, 11.100000)ææ",
Mezel,1949,"Auvergne, France",L6,1300 g,"(45.766670, 3.250000)ææ",
Mez_-Madaras,1852,"Harghita, Romania",L3.7,22.7 kg,"(46.500000, 25.733330)ææ",
Mhow,1827,"Uttar Pradesh, India",L6,350 g,"(25.900000, 83.616670)ææ",
Mianchi,1980,"Henan, China",H5,1100 g,"(34.800000, 111.700000)ææ",
Middlesbrough,1881,"England, UK",L6,1600 g,"(54.566670, -1.166670)ææ",
Mifflinæ**,2010,"Wisconsin, USA",L5,3.58 kg,"(42.907500, -90.365560)ææ",
Mighei,1889,"Nikolayev, Ukraine",CM2,8 kg,"(48.066670, 30.966670)ææ",
Mihonosekiæ**,1992,"Chugoku, Japan",L6,6.38 kg,"(35.568330, 133.220000)ææ",
Mike,1944,"Somogy, Hungary",L6,224 g,"(46.233330, 17.533330)ææ",
Mikolawa,1837,Hungary,Doubtful meteorite,,,
Milan,1525,Italy,Doubtful meteorite,,,
Milena,1842,Croatia,L6,10 kg,"(46.183330, 16.100000)ææ",
Millbillillieæ**,1960,"Western Australia, Australia",Eucrite-mmict,330 kg,"(-26.450000, 120.366670)ææ",
Miller (Arkansas),1930,"Arkansas, USA",H5,16.7 kg,"(35.400000, -92.050000)ææ",
Min-Fan-Zhunæ**,1952,"Jiangsu, China",LL6,5.5 kg,"(32.333330, 120.666670)ææ",
Minaminoæ**,1632,"Chubu, Japan",L,1040 g,"(35.078330, 136.933330)ææ",
Minden,1379,"Nordrhein-Westfalen, Germany",Doubtful meteorite,,"(52.300000, 8.916670)ææ",
Mineo,1826,"Sicilia, Italy",Pallasite,42 g,"(37.283330, 14.700000)ææ",
Minnichhof,1905,"Burgenland, Austria",OC,550 g,"(47.700000, 16.600000)ææ",
Mirzapur,1910,"Uttar Pradesh, India",L5,8.51 kg,"(25.683330, 83.250000)ææ",
Miskolcz,1559,"Borsod-Abauj-Zemplen, Hungary",Doubtful stone,,"(48.116670, 20.800000)ææ",
Misshof,1890,Latvia,H5,5.8 kg,"(56.666670, 23.000000)ææ",
Mixbury,1725,"England, UK",Doubtful meteorite,9 kg,"(52.000000, -1.116670)ææ",
Mjelleim,1898,"Sogn Og Fjordane, Norway",H,100.7 g,"(61.733330, 5.933330)ææ",
Mocs,1882,"Cluj, Romania",L5-6,300 kg,"(46.800000, 24.033330)ææ",
Modoc (1905),1905,"Kansas, USA",L6,35 kg,"(38.500000, -101.100000)ææ",
Mokoia,1908,"Taranaki, New Zealand",CV3,4.5 kg,"(-39.633330, 174.400000)ææ",
Molina,1858,"Murcia, Spain",H5,144 kg,"(38.116670, -1.166670)ææ",
Molteno,1953,"Eastern Cape, South Africa",Howardite,150 g,"(-31.250000, 26.466670)ææ",
Monahans (1998)æ**,1998,"Texas, USA",H5,2.59 kg,"(31.608330, -102.858330)ææ",
Monroe,1849,"North Carolina, USA",H4,8.6 kg,"(35.250000, -80.500000)ææ",
Mons,1186,"Hainaut, Belgium",Doubtful meteorite,,"(50.450000, 3.950000)ææ",
Monte das Fortesæ**,1950,"Beja, Portugal",L5,4.89 kg,"(38.016670, -8.250000)ææ",
Monte Milone,1846,"Marche, Italy",L5,3.13 kg,"(43.266670, 13.350000)ææ",
Montferr_æ**,1923,"Languedoc-Roussillon, France",H5,149 kg,"(43.390560, 1.962500)ææ",
Montlivault,1838,"Centre, France",L6,500 g,"(47.633330, 1.583330)ææ",
Monze,1950,"Southern, Zambia",L6,,"(-15.966670, 27.350000)ææ",
Moore County,1913,"North Carolina, USA",Eucrite-cm,1880 g,"(35.416670, -79.383330)ææ",
Mooresfort,1810,"Munster, Ireland",H5,3.52 kg,"(52.450000, -8.333330)ææ",
Moorleah,1930,"Tasmania, Australia",L6,8.89 kg,"(-40.975000, 145.600000)ææ",
Moradabad,1808,"Uttar Pradesh, India",L6,70 g,"(28.783330, 78.833330)ææ",
Moràvkaæ**,2000,"Moravskoslezsk_, Czech Republic",H5,633 g,"(49.600000, 18.533330)ææ",
Mornans,1875,"Rhone-Alpes, France",H5,1300 g,"(44.600000, 5.133330)ææ",
Mossæ**,2006,"Ostfold, Norway",CO3.6,3.76 kg,"(59.433330, 10.700000)ææ",
Moti-ka-nagla,1868,"Rajasthan, India",H6,1500 g,"(26.833330, 77.333330)ææ",
Motta di Conti,1868,"Piemonte, Italy",H4,9.15 kg,"(45.200000, 8.500000)ææ",
Mount Browne,1902,"New South Wales, Australia",H6,11.3 kg,"(-29.800000, 141.700000)ææ",
Mount Tazerzaitæ**,1991,"Agadez, Niger",L5,110 kg,"(18.700000, 4.800000)ææ",
Mount Vaisi,1637,"Provence-Alpes-Cote d'Azur, France",Stone-uncl,17 kg,"(44.083330, 6.866670)ææ",
Mre¥raæ**,2012,"Tiris Zemmour, Mauritania",L6,6 kg,"(25.959170, -10.960250)ææ",
Mtola,1944,"Northern, Malawi",Stone-uncl,1100 g,"(-11.500000, 33.500000)ææ",
Muddoor,1865,"Karnataka, India",L5,4.4 kg,"(12.633330, 77.016670)ææ",
Mulino,1927,"Oregon, USA",Doubtful stone,,"(45.216670, -122.566670)ææ",
Mulletiwu,1795,"Northern, Sri Lanka",L,25.5 g,"(9.333330, 80.833330)ææ",
Muraid,1924,"Dhaka, Bangladesh",L6,4.7 kg,"(24.500000, 90.216670)ææ",
Murchisonæ**,1969,"Victoria, Australia",CM2,100 kg,"(-36.616670, 145.200000)ææ",
Murrayæ**,1950,"Kentucky, USA",CM2,12.6 kg,"(36.600000, -88.100000)ææ",
Muzaffarpuræ**,1964,"Bihar, India","Iron, IAB-sHL",1245 g,"(26.133330, 85.533330)ææ",
Myhee Caunta,1842,"Gujarat, India",OC,,"(23.050000, 72.633330)ææ",
Nadiabondiæ**,1956,"Gourma, Burkina Faso",H5,8.17 kg,"(12.000000, 1.000000)ææ",
Nagaiæ**,1922,"Tohoku, Japan",L6,1810 g,"(38.121670, 140.061670)ææ",
Nagaria,1875,"Uttar Pradesh, India",Eucrite-cm,20 g,"(26.983330, 78.216670)ææ",
Nagy-Borov_,1895,"Stredoslovensky, Slovakia",L5,6.1 kg,"(49.166670, 19.500000)ææ",
Nakhla,1911,"Al Buhayrah, Egypt",Martian (nakhlite),10 kg,"(31.316670, 30.350000)ææ",
Nakhon Pathomæ**,1923,"Nakhon Pathom, Thailand",L6,23.2 kg,"(13.733330, 100.083330)ææ",
Nammianthal,1886,"Tamil Nadu, India",H5,4.5 kg,"(12.283330, 79.200000)ææ",
Nan Yang Pao,1917,"Gansu, China",L6,52.9 kg,"(35.666670, 103.500000)ææ",
Nanjemoy,1825,"Maryland, USA",H6,7.5 kg,"(38.416670, -77.166670)ææ",
Nantongæ**,1984,"Jiangsu, China",H6,529 g,"(32.116670, 121.800000)ææ",
Naoki,1928,"Maharashtra, India",H6,17 kg,"(19.250000, 77.000000)ææ",
Naraghæ**,1974,"Esfahan, Iran",H6,2.7 kg,"(33.750000, 51.500000)ææ",
Narellan,1928,"New South Wales, Australia",L6,368 g,"(-34.050000, 150.688890)ææ",
Narni,921,"Umbria, Italy",Stone-uncl,,"(42.516670, 12.516670)ææ",
Nassirah,1936,New Caledonia,H4,347 g,"(-21.733330, 165.900000)ææ",
Natal,1973,South Africa,Stone-uncl,1.4 g,,
Naunhof,1540,"Sachsen, Germany",Doubtful Iron,,"(51.283330, 12.583330)ææ",
Nawapali,1890,"Orissa, India",CM2,105 g,"(21.250000, 83.666670)ææ",
Neagariæ**,1995,"Chubu, Japan",L6,420 g,"(36.449170, 136.465280)ææ",
Nedagolla,1870,"Andhra Pradesh, India","Iron, ungrouped",4.5 kg,"(18.683330, 83.483330)ææ",
Nejoæ**,1970,"Welega, Ethiopia",L6,2.45 kg,"(9.500000, 35.333330)ææ",
Nerft,1864,Latvia,L6,10.25 kg,"(56.500000, 21.500000)ææ",
Neuschwansteinæ**,2002,"Bayern, Germany",EL6,6.19 kg,"(47.525000, 10.808330)ææ",
New Concord,1860,"Ohio, USA",L6,230 kg,"(40.000000, -81.766670)ææ",
New Halfaæ**,1994,"Ash Sharqiyah, Sudan",L4,12 kg,"(15.366670, 35.683330)ææ",
New Orleansæ**,2003,"Louisiana, USA",H5,19.26 kg,"(29.947180, -90.109760)ææ",
Ngawi,1883,"Jawa Timur, Indonesia",LL3.6,1393 g,"(-7.450000, 111.416670)ææ",
N'Goureyma,1900,"Mopti, Mali","Iron, ungrouped",37.5 kg,"(13.850000, -4.383330)ææ",
Nicorps,1750,"Basse-Normandie, France",Stone-uncl,,"(49.033330, -1.433330)ææ",
Niederreissen,1581,"Thuringen, Germany",Doubtful stone,17.7 kg,"(51.066670, 11.366670)ææ",
Niger (L6),1967,Niger,L6,3.3 g,,
Niger (LL6),1967,Niger,LL6,3.3 g,,
Nikolaevka,1935,"Pavlodar, Kazakhstan",H4,4 kg,"(52.450000, 78.633330)ææ",
Nikolskoeæ**,1954,"Moskovskaya oblast', Russia",L4,6 kg,"(56.116670, 37.333330)ææ",
Ningboæ**,1975,"Zhejiang, China","Iron, IVA",14.25 kg,"(29.866670, 121.483330)ææ",
Ningqiangæ**,1983,"Shaanxi, China",C3-ung,4.61 kg,"(32.925000, 105.906670)ææ",
Nioæ**,1897,"Chugoku, Japan",H3-4,467 g,"(34.200000, 131.566670)ææ",
N'Kandhla,1912,"KwaZulu/Natal, South Africa","Iron, IID",17.2 kg,"(-28.566670, 30.700000)ææ",
Nkayiæ**,2009,"Matabeleland North, Zimbabwe",L6,100 kg,"(-18.933330, 28.600000)ææ",
Nobleborough,1823,"Maine, USA",Eucrite-pmict,2.3 kg,"(44.083330, -69.483330)ææ",
Noblesvilleæ**,1991,"Indiana, USA",H4-6,484 g,"(40.085280, -86.055000)ææ",
Nogataæ**,861,"Kyushu, Japan",L6,472 g,"(33.725000, 130.750000)ææ",
Nogoya,1879,"Entre Rios, Argentina",CM2,4 kg,"(-32.366670, -59.833330)ææ",
Norfork,1918,"Arkansas, USA","Iron, IIIAB",1050 g,"(36.216670, -92.266670)ææ",
N_rten,1580,"Niedersachsen, Germany",Doubtful stone,,"(51.633330, 9.950000)ææ",
North Africa (1020),1020,,Doubtful meteorite,,,
North Africa (481),481,,Doubtful meteorite,,,
Norton County,1948,"Kansas, USA",Aubrite,1.1 t,"(39.683330, -99.866670)ææ",
Novatoæ**,2012,"California, USA",L6,314 g,"(38.109000, -122.610530)ææ",
Noventa Vicentina**,1971,"Veneto, Italy",H4,177 g,"(45.291670, 11.527220)ææ",
Novo-Urei,1886,"Respublika Mordoviya, Russia",Ureilite,1900 g,"(54.816670, 46.000000)ææ",
Novy-Ergiæ**,1662,"Novgorodskaya oblast', Russia",Stone-uncl,,"(58.550000, 31.333330)ææ",
Novy-Projekt,1908,Lithuania,OC,1001 g,"(56.000000, 22.000000)ææ",
Noyan-Bogdoæ**,1933,"Omnogovi, Mongolia",L6,250 g,"(42.916670, 102.466670)ææ",
Nuevo Mercurioæ**,1978,"Zacatecas, Mexico",H5,50 kg,"(24.300000, -102.133330)ææ",
Nulles,1851,"Cataluna, Spain",H6,5 kg,"(41.633330, 0.750000)ææ",
Numakaiæ**,1925,"Hokkaido, Japan",H4,363 g,"(43.333330, 141.866670)ææ",
Nyaung,1939,"Magwe, Burma","Iron, IIIAB",738 g,"(21.208330, 94.916670)ææ",
Nyiràbrany,1914,"Hajdu-Bihar, Hungary",LL5,1100 g,"(47.550000, 22.025000)ææ",
Ochansk,1887,"Permskaya oblast', Russia",H4,500 kg,"(57.783330, 55.266670)ææ",
Oesede,1927,"Niedersachsen, Germany",H5,1400 g,"(52.283330, 8.050000)ææ",
Oesel,1855,Estonia,L6,6 kg,"(58.500000, 23.000000)ææ",
Ofeh_rtÑ,1900,"Szabolcs-Szatmar-Bereg, Hungary",L6,3.75 kg,"(47.883330, 22.033330)ææ",
Ofen,1642,"Komarom-Esztergom, Hungary",Doubtful meteorite,,"(47.800000, 18.750000)ææ",
Ogi,1741,"Kyushu, Japan",H6,14.36 kg,"(33.283330, 130.200000)ææ",
Ohaba,1857,"Alba, Romania",H5,16.25 kg,"(46.066670, 23.583330)ææ",
Ohuma,1963,"Benue, Nigeria",L5,7.7 kg,"(6.750000, 8.500000)ææ",
Ojuelos Altos,1926,"Andalucia, Spain",L6,5.85 kg,"(38.183330, -5.400000)ææ",
Okabeæ**,1958,"Kanto, Japan",H5,194 g,"(36.183330, 139.216670)ææ",
Okano,1904,"Kinki, Japan","Iron, IIAB",4.74 kg,"(35.083330, 135.200000)ææ",
Okniny,1834,"Volyn, Ukraine",LL6,12 kg,"(50.833330, 25.500000)ææ",
Oldenburg (1368),1368,"Niedersachsen, Germany",Doubtful meteorite,,"(52.950000, 8.166670)ææ",
Oldenburg (1930),1930,"Niedersachsen, Germany",L6,16.57 kg,"(52.950000, 8.166670)ææ",
Oldisleben,1135,"Thuringen, Germany",Doubtful meteorite,,"(51.300000, 11.183330)ææ",
Oliva-Gandia,1520,"Valenciana, Spain",Stone-uncl,,"(39.000000, -0.033330)ææ",
Olivenza,1924,"Extremadura, Spain",LL5,150 kg,"(38.716670, -7.066670)ææ",
