Name,Year,Please,Type,Mass,Lat,Long
Maziba,1942,"Southern, Uganda",L6,4.98 kg,-1.21667,30
Mbale,1992,"Eastern, Uganda",L5/6,150 kg,1.06667,34.16667
Medanitos,1953,"Catamarca, Argentina",Eucrite-cm,31 g,-27.25,-67.5
Meerut,1861,"Uttar Pradesh, India",H5,22 g,29.01667,77.8
Meester-Cornelis,1915,"Jakarta Raya, Indonesia",H5,24.75 kg,-6.23333,106.88333
Meissen,1164,"Sachsen, Germany",Doubtful Iron,,51.15,13.46667
Menabilly,,"England, UK",Pseudometeorite,,50.31667,-4.66667
Menow,1862,"Brandenburg, Germany",H4,10.5 kg,53.18333,13.15
Menziswyl,1903,"Fribourg, Switzerland",L5,28.9 g,46.81867,7.21817
Mern,1878,"Region Sjaelland, Denmark",L6,4 kg,55.05,12.06667
Meru,1945,"Eastern, Kenya",LL6,6 kg,0,37.66667
Merua,1920,"Uttar Pradesh, India",H5,71.4 kg,25.48333,81.98333
Messina,1955,"Sicilia, Italy",L5,2.41 kg,38.18333,15.56667
Meuselbach,1897,"Thuringen, Germany",L6,870 g,50.58333,11.1
Mezel,1949,"Auvergne, France",L6,1300 g,45.76667,3.25
Mez_-Madaras,1852,"Harghita, Romania",L3.7,22.7 kg,46.5,25.73333
Mhow,1827,"Uttar Pradesh, India",L6,350 g,25.9,83.61667
Mianchi,1980,"Henan, China",H5,1100 g,34.8,111.7
Middlesbrough,1881,"England, UK",L6,1600 g,54.56667,-1.16667
Mifflin,2010,"Wisconsin, USA",L5,3.58 kg,42.9075,-90.36556
Mighei,1889,"Nikolayev, Ukraine",CM2,8 kg,48.06667,30.96667
Mihonoseki,1992,"Chugoku, Japan",L6,6.38 kg,35.56833,133.22
Mike,1944,"Somogy, Hungary",L6,224 g,46.23333,17.53333
Mikolawa,1837,Hungary,Doubtful meteorite,,,
Milan,1525,Italy,Doubtful meteorite,,,
Milena,1842,Croatia,L6,10 kg,46.18333,16.1
Millbillillie,1960,"Western Australia, Australia",Eucrite-mmict,330 kg,-26.45,120.36667
Miller Arkansas,1930,"Arkansas, USA",H5,16.7 kg,35.4,-92.05
Min-Fan-Zhun,1952,"Jiangsu, China",LL6,5.5 kg,32.33333,120.66667
Minamino,1632,"Chubu, Japan",L,1040 g,35.07833,136.93333
Minden,1379,"Nordrhein-Westfalen, Germany",Doubtful meteorite,,52.3,8.91667
Mineo,1826,"Sicilia, Italy",Pallasite,42 g,37.28333,14.7
Minnichhof,1905,"Burgenland, Austria",OC,550 g,47.7,16.6
Mirzapur,1910,"Uttar Pradesh, India",L5,8.51 kg,25.68333,83.25
Miskolcz,1559,"Borsod-Abauj-Zemplen, Hungary",Doubtful stone,,48.11667,20.8
Misshof,1890,Latvia,H5,5.8 kg,56.66667,23
Mixbury,1725,"England, UK",Doubtful meteorite,9 kg,52,-1.11667
Mjelleim,1898,"Sogn Og Fjordane, Norway",H,100.7 g,61.73333,5.93333
Mocs,1882,"Cluj, Romania",L5-6,300 kg,46.8,24.03333
Modoc 1905,1905,"Kansas, USA",L6,35 kg,38.5,-101.1
Mokoia,1908,"Taranaki, New Zealand",CV3,4.5 kg,-39.63333,174.4
Molina,1858,"Murcia, Spain",H5,144 kg,38.11667,-1.16667
Molteno,1953,"Eastern Cape, South Africa",Howardite,150 g,-31.25,26.46667
Monahans 1998,1998,"Texas, USA",H5,2.59 kg,31.60833,-102.85833
Monroe,1849,"North Carolina, USA",H4,8.6 kg,35.25,-80.5
Mons,1186,"Hainaut, Belgium",Doubtful meteorite,,50.45,3.95
Monte das Fortes,1950,"Beja, Portugal",L5,4.89 kg,38.01667,-8.25
Monte Milone,1846,"Marche, Italy",L5,3.13 kg,43.26667,13.35
Montferr_,1923,"Languedoc-Roussillon, France",H5,149 kg,43.39056,1.9625
Montlivault,1838,"Centre, France",L6,500 g,47.63333,1.58333
Monze,1950,"Southern, Zambia",L6,,-15.96667,27.35
Moore County,1913,"North Carolina, USA",Eucrite-cm,1880 g,35.41667,-79.38333
Mooresfort,1810,"Munster, Ireland",H5,3.52 kg,52.45,-8.33333
Moorleah,1930,"Tasmania, Australia",L6,8.89 kg,-40.975,145.6
Moradabad,1808,"Uttar Pradesh, India",L6,70 g,28.78333,78.83333
Mor‡vka,2000,"Moravskoslezsk_, Czech Republic",H5,633 g,49.6,18.53333
Mornans,1875,"Rhone-Alpes, France",H5,1300 g,44.6,5.13333
Moss,2006,"Ostfold, Norway",CO3.6,3.76 kg,59.43333,10.7
Moti-ka-nagla,1868,"Rajasthan, India",H6,1500 g,26.83333,77.33333
Motta di Conti,1868,"Piemonte, Italy",H4,9.15 kg,45.2,8.5
Mount Browne,1902,"New South Wales, Australia",H6,11.3 kg,-29.8,141.7
Mount Tazerzait,1991,"Agadez, Niger",L5,110 kg,18.7,4.8
Mount Vaisi,1637,"Provence-Alpes-Cote d'Azur, France",Stone-uncl,17 kg,44.08333,6.86667
Mre•ra,2012,"Tiris Zemmour, Mauritania",L6,6 kg,25.95917,-10.96025
Mtola,1944,"Northern, Malawi",Stone-uncl,1100 g,-11.5,33.5
Muddoor,1865,"Karnataka, India",L5,4.4 kg,12.63333,77.01667
Mulino,1927,"Oregon, USA",Doubtful stone,,45.21667,-122.56667
Mulletiwu,1795,"Northern, Sri Lanka",L,25.5 g,9.33333,80.83333
Muraid,1924,"Dhaka, Bangladesh",L6,4.7 kg,24.5,90.21667
Murchison,1969,"Victoria, Australia",CM2,100 kg,-36.61667,145.2
Murray,1950,"Kentucky, USA",CM2,12.6 kg,36.6,-88.1
Muzaffarpur,1964,"Bihar, India","Iron, IAB-sHL",1245 g,26.13333,85.53333
Myhee Caunta,1842,"Gujarat, India",OC,,23.05,72.63333
Nadiabondi,1956,"Gourma, Burkina Faso",H5,8.17 kg,12,1
Nagai,1922,"Tohoku, Japan",L6,1810 g,38.12167,140.06167
Nagaria,1875,"Uttar Pradesh, India",Eucrite-cm,20 g,26.98333,78.21667
Nagy-Borov_,1895,"Stredoslovensky, Slovakia",L5,6.1 kg,49.16667,19.5
Nakhla,1911,"Al Buhayrah, Egypt",Martian nakhlite,10 kg,31.31667,30.35
Nakhon Pathom,1923,"Nakhon Pathom, Thailand",L6,23.2 kg,13.73333,100.08333
Nammianthal,1886,"Tamil Nadu, India",H5,4.5 kg,12.28333,79.2
Nan Yang Pao,1917,"Gansu, China",L6,52.9 kg,35.66667,103.5
Nanjemoy,1825,"Maryland, USA",H6,7.5 kg,38.41667,-77.16667
Nantong,1984,"Jiangsu, China",H6,529 g,32.11667,121.8
Naoki,1928,"Maharashtra, India",H6,17 kg,19.25,77
Naragh,1974,"Esfahan, Iran",H6,2.7 kg,33.75,51.5
Narellan,1928,"New South Wales, Australia",L6,368 g,-34.05,150.68889
Narni,921,"Umbria, Italy",Stone-uncl,,42.51667,12.51667
Nassirah,1936,New Caledonia,H4,347 g,-21.73333,165.9
Natal,1973,South Africa,Stone-uncl,1.4 g,,
Naunhof,1540,"Sachsen, Germany",Doubtful Iron,,51.28333,12.58333
Nawapali,1890,"Orissa, India",CM2,105 g,21.25,83.66667
Neagari,1995,"Chubu, Japan",L6,420 g,36.44917,136.46528
Nedagolla,1870,"Andhra Pradesh, India","Iron, ungrouped",4.5 kg,18.68333,83.48333
Nejo,1970,"Welega, Ethiopia",L6,2.45 kg,9.5,35.33333
Nerft,1864,Latvia,L6,10.25 kg,56.5,21.5
Neuschwanstein,2002,"Bayern, Germany",EL6,6.19 kg,47.525,10.80833
New Concord,1860,"Ohio, USA",L6,230 kg,40,-81.76667
New Halfa,1994,"Ash Sharqiyah, Sudan",L4,12 kg,15.36667,35.68333
New Orleans,2003,"Louisiana, USA",H5,19.26 kg,29.94718,-90.10976
Ngawi,1883,"Jawa Timur, Indonesia",LL3.6,1393 g,-7.45,111.41667
N'Goureyma,1900,"Mopti, Mali","Iron, ungrouped",37.5 kg,13.85,-4.38333
Nicorps,1750,"Basse-Normandie, France",Stone-uncl,,49.03333,-1.43333
Niederreissen,1581,"Thuringen, Germany",Doubtful stone,17.7 kg,51.06667,11.36667
Niger L6,1967,Niger,L6,3.3 g,,
Niger LL6,1967,Niger,LL6,3.3 g,,
Nikolaevka,1935,"Pavlodar, Kazakhstan",H4,4 kg,52.45,78.63333
Nikolskoe,1954,"Moskovskaya oblast', Russia",L4,6 kg,56.11667,37.33333
Ningbo,1975,"Zhejiang, China","Iron, IVA",14.25 kg,29.86667,121.48333
Ningqiang,1983,"Shaanxi, China",C3-ung,4.61 kg,32.925,105.90667
Nio,1897,"Chugoku, Japan",H3-4,467 g,34.2,131.56667
N'Kandhla,1912,"KwaZulu/Natal, South Africa","Iron, IID",17.2 kg,-28.56667,30.7
Nkayi,2009,"Matabeleland North, Zimbabwe",L6,100 kg,-18.93333,28.6
Nobleborough,1823,"Maine, USA",Eucrite-pmict,2.3 kg,44.08333,-69.48333
Noblesville,1991,"Indiana, USA",H4-6,484 g,40.08528,-86.055
Nogata,861,"Kyushu, Japan",L6,472 g,33.725,130.75
Nogoya,1879,"Entre Rios, Argentina",CM2,4 kg,-32.36667,-59.83333
Norfork,1918,"Arkansas, USA","Iron, IIIAB",1050 g,36.21667,-92.26667
N_rten,1580,"Niedersachsen, Germany",Doubtful stone,,51.63333,9.95
North Africa 1020,1020,,Doubtful meteorite,,,
North Africa 481,481,,Doubtful meteorite,,,
Norton County,1948,"Kansas, USA",Aubrite,1.1 t,39.68333,-99.86667
Novato,2012,"California, USA",L6,314 g,38.109,-122.61053
Noventa Vicentina,1971,"Veneto, Italy",H4,177 g,45.29167,11.52722
Novo-Urei,1886,"Respublika Mordoviya, Russia",Ureilite,1900 g,54.81667,46
Novy-Ergi,1662,"Novgorodskaya oblast', Russia",Stone-uncl,,58.55,31.33333
Novy-Projekt,1908,Lithuania,OC,1001 g,56,22
Noyan-Bogdo,1933,"Omnogovi, Mongolia",L6,250 g,42.91667,102.46667
Nuevo Mercurio,1978,"Zacatecas, Mexico",H5,50 kg,24.3,-102.13333
Nulles,1851,"Cataluna, Spain",H6,5 kg,41.63333,0.75
Numakai,1925,"Hokkaido, Japan",H4,363 g,43.33333,141.86667
Nyaung,1939,"Magwe, Burma","Iron, IIIAB",738 g,21.20833,94.91667
Nyir‡brany,1914,"Hajdu-Bihar, Hungary",LL5,1100 g,47.55,22.025
Ochansk,1887,"Permskaya oblast', Russia",H4,500 kg,57.78333,55.26667
Oesede,1927,"Niedersachsen, Germany",H5,1400 g,52.28333,8.05
Oesel,1855,Estonia,L6,6 kg,58.5,23
Ofeh_rt—,1900,"Szabolcs-Szatmar-Bereg, Hungary",L6,3.75 kg,47.88333,22.03333
Ofen,1642,"Komarom-Esztergom, Hungary",Doubtful meteorite,,47.8,18.75
Ogi,1741,"Kyushu, Japan",H6,14.36 kg,33.28333,130.2
Ohaba,1857,"Alba, Romania",H5,16.25 kg,46.06667,23.58333
Ohuma,1963,"Benue, Nigeria",L5,7.7 kg,6.75,8.5
Ojuelos Altos,1926,"Andalucia, Spain",L6,5.85 kg,38.18333,-5.4
Okabe,1958,"Kanto, Japan",H5,194 g,36.18333,139.21667
Okano,1904,"Kinki, Japan","Iron, IIAB",4.74 kg,35.08333,135.2
Okniny,1834,"Volyn, Ukraine",LL6,12 kg,50.83333,25.5
Oldenburg 1368,1368,"Niedersachsen, Germany",Doubtful meteorite,,52.95,8.16667
Oldenburg 1930,1930,"Niedersachsen, Germany",L6,16.57 kg,52.95,8.16667
Oldisleben,1135,"Thuringen, Germany",Doubtful meteorite,,51.3,11.18333
Oliva-Gandia,1520,"Valenciana, Spain",Stone-uncl,,39,-0.03333
Olivenza,1924,"Extremadura, Spain",LL5,150 kg,38.71667,-7.06667
Olmedilla de Alarc—n,1929,"Castilla-La Mancha, Spain",H5,40 kg,39.56667,-2.1
Omolon,1981,"Magadanskaya oblast', Russia","Pallasite, PMG",250 kg,64.02,161.80833
Orange River stone,1887,"Northern Cape, South Africa",Doubtful OC,8 g,-29.66667,24.21667
Orebro,1958,"Orebro, Sweden",Pseudometeorite,8 kg,59.28333,15.21667
Orgueil,1864,"Midi-Pyrenees, France",CI1,14 kg,43.88333,1.38333
Oriang,1825,"Rajasthan, India",Doubtful meteorite,,24,76
Orlando,2004,"Florida, USA",Eucrite,180 g,28.5475,-81.36222
Ornans,1868,"Franche-Comte, France",CO3.4,6 kg,47.11667,6.15
Ortenau,1671,"Baden-Wurttemberg, Germany",Stone-uncl,4.5 kg,48.5,8
Orvinio,1872,"Lazio, Italy",H6,3.4 kg,42.13333,12.93333
Oter¿y,1928,"Telemark, Norway",L6,246 g,58.88333,9.4
Otomi,1867,"Tohoku, Japan",H,6.51 kg,38.4,140.35
Ottawa,1896,"Kansas, USA",LL6,840 g,38.6,-95.21667
Ouadangou,2003,"Gnagna, Burkina Faso",L5,4.44 kg,12.9,0.08
Oued el Hadjar,1986,"Guelmim-Es-Semara, Morocco",LL6,1216 g,30.18,-6.57717
Oum Dreyga,2003,"Rio de Oro, Western Sahara",H3-5,17 kg,24.3,-13.1
Ourique,1998,"Beja, Portugal",H4,20 kg,37.60833,-8.28
Ovambo,1900,"Owambo, Namibia",L6,121.5 g,-18,16
Oviedo,1856,"Asturias, Spain",H5,205 g,43.4,-5.86667
Owrucz,1775,"Zhitomir, Ukraine",OC,,51.33333,28.83333
Pacula,1881,"Hidalgo, Mexico",L6,3.4 kg,21.05,-99.3
Padvarninkai,1929,Lithuania,Eucrite-mmict,3.86 kg,55.66667,25
Paint Creek,1868,"Ohio, USA",Doubtful Iron,9.3 kg,40.5,-82
Paitan,1910,"Ilocos, Philippines",H6,515 g,17.74333,120.45583
Palahatchie,1910,"Mississippi, USA",OC,,32.31667,-89.71667
Palca de Aparzo,1988,"Jujuy, Argentina",L5,1430 g,-23.11667,-65.1
Palenca de Baixo,1894,"Lisboa, Portugal",Doubtful stone,,39,-9
Palinshih,1914,"Nei Mongol, China",Iron,18 kg,43.48333,118.61667
Palmyra,1926,"Missouri, USA",L3,135 g,39.8,-91.5
Palolo Valley,1949,"Hawaii, USA",H5,682 g,21.3,-157.78333
Pampanga,1859,"Central Luzon, Philippines",L5,10.5 kg,15.08333,120.7
Pantar,1938,"Central Mindanao, Philippines",H5,2.13 kg,8.06667,124.28333
Paragould,1930,"Arkansas, USA",LL5,408 kg,36.06667,-90.5
Parambu,1967,"Ceara, Brazil",LL5,2 kg,-6.23333,-40.7
Paranaiba,1956,"Mato Grosso do Sul, Brazil",L6,100 kg,-19.13333,-51.66667
Park Forest,2003,"Illinois, USA",L5,18 kg,41.48472,-87.67917
Parnallee,1857,"Tamil Nadu, India",LL3.6,77.6 kg,9.23333,78.35
Parsa,1942,"Bihar, India",EH3,800 g,26.2,85.4
Pasamonte,1933,"New Mexico, USA",Eucrite-pmict,5.1 kg,36.21667,-103.4
Patora,1969,"Madhya Pradesh, India",H6,4.38 kg,20.93694,82.05
Patrimonio,1950,"Minas Gerais, Brazil",L6,2.12 kg,-19.53333,-48.56667
Patti,1922,"Sicilia, Italy",Iron,12 g,38.13333,14.96667
Patwar,1935,"Chittagong, Bangladesh",Mesosiderite-A1,37.35 kg,23.15,91.18333
Pavel,1966,"Lovech, Bulgaria",H5,2.97 kg,43.46667,25.51667
Pavlodar stone,1938,"Pavlodar, Kazakhstan",H5,142.5 g,52.3,77.03333
Pavlograd,1826,"Dnepropetrovsk, Ukraine",L6,40 kg,48.53333,35.98333
Pavlovka,1882,"Saratovskaya oblast', Russia",Howardite,2 kg,52.03333,43
Pê,1989,"Houet, Burkina Faso",L6,,11.33367,-3.54217
Peace River,1963,"Alberta, Canada",L6,45.76 kg,56.13333,-117.93333
Peckelsheim,1953,"Nordrhein-Westfalen, Germany",Diogenite-pm,117.8 g,51.66667,9.25
Peekskill,1992,"New York, USA",H6,12.57 kg,41.28333,-73.91667
Pe–a Blanca Spring,1946,"Texas, USA",Aubrite,70 kg,30.125,-103.11667
Pentolina,1697,"Toscana, Italy",Doubtful stone,,43.2,11.16667
Peramiho,1899,"Ruvuma, Tanzania",Eucrite-mmict,165 g,-10.66667,35.5
Perpeti,1935,"Chittagong, Bangladesh",L6,23.47 kg,23.325,91
Perth,1830,"Scotland, UK",LL5,2 g,56.4,-3.43333
Pervomaisky,1933,"Vladimirskaya oblast', Russia",L6,66 kg,56.63333,39.43333
Pesyanoe,1933,"Kurganskaya oblast', Russia",Aubrite,3.39 kg,55.5,66.08333
P_tèlkol_,1995,"Niamey, Niger",H5,189 g,14.052,0.42
Petersburg,1855,"Tennessee, USA",Eucrite-pmict,1800 g,35.3,-86.63333
Pettiswood,1779,"Leinster, Ireland",Stone-uncl,,53.53333,-7.33333
Pfullingen,1904,"Baden-Wurttemberg, Germany",Doubtful Iron,7.5 kg,48.46667,9.21667
Phillips County stone,1901,"Kansas, USA",L6,57.9 kg,40,-99.25
Phu Hong,1887,"Binh Thuan, Vietnam",H4,500 g,11.25,108.58333
Phum Sambo,1933,"Kampong Cham, Cambodia",H4,7.8 kg,12,105.48333
Phuoc-Binh,1941,"Quang Nam-Da Nang, Vietnam",L5,11 kg,15.71667,108.1
Piancaldoli,1968,"Emilia-Romagna, Italy",LL3.4,13.1 g,44.24417,11.50222
Picote,1843,"Braganca, Portugal",Stone-uncl,,41.36667,-6.23333
Piedmont,1583,"Piemonte, Italy",Doubtful meteorite,,44.91667,8
Pillistfer,1863,Estonia,EL6,23.25 kg,58.66667,25.73333
Piplia Kalan,1996,"Rajasthan, India",Eucrite-mmict,42 kg,26.03472,73.94167
Piquetberg,1881,"Western Cape, South Africa",H,37 g,-32.86667,18.71667
Pirgunje,1882,"Rajshahi, Bangladesh",L6,842 g,25.8,88.45
Pirthalla,1884,"Haryana, India",H6,1161 g,29.58333,76
Pitts,1921,"Georgia, USA","Iron, IAB-ung",3.76 kg,31.95,-83.51667
Plantersville,1930,"Texas, USA",H6,2.09 kg,30.7,-96.11667
Ple_coi,2008,"Buzau, Romania",L5-6,6.91 kg,45.275,26.70972
Ploschkovitz,1723,"òsteck_, Czech Republic",L5,39 g,50.53333,14.11667
Pnompehn,1868,"Phnum Penh, Cambodia",L6,96 g,11.58333,104.91667
Po-wang Chen,1933,"Anhui, China",LL,665 g,31.41667,118.5
Pohlitz,1819,"Sachsen-Anhalt, Germany",L5,3 kg,50.93333,12.13333
Pokhra,1866,"Uttar Pradesh, India",H5,350 g,26.71667,82.66667
P_lau,1647,"Sachsen, Germany",Doubtful meteorite,,50.71667,12.48333
Pollen,1942,"Nordland, Norway",CM2,254 g,66.34833,14.015
Ponta Grossa,1846,"Parana, Brazil",Doubtful stone,667 g,-25.08333,-50.15
Pontlyfni,1931,"Wales, UK",Winonaite,157 g,53.03639,-4.31944
Porangaba,2015,"Sao Paulo, Brazil",L4,976 g,-23.16,-48.18111
Portales Valley,1998,"New Mexico, USA",H6,71.4 kg,34.175,-103.295
Portugal,1796,"Evora, Portugal",Stone-uncl,4.5 kg,38.5,-8
Prambachkirchen,1932,"Oberosterreich, Austria",L6,2.13 kg,48.3025,13.94083
Pribram,1959,"Stredocesky, Czech Republic",H5,5.56 kg,49.66667,14.03333
Pricetown,1893,"Ohio, USA",L6,900 g,39.11667,-83.85
Prince of Wales's Straits,1850,"Northwest Territories, Canada",Doubtful meteorite,,73.5,-115
Puerto L‡pice,2007,"Castilla-La Mancha, Spain",Eucrite-br,500 g,39.35,-3.51667
Pulrose,1813,Isle of Man,Doubtful meteorite,,54.25,-4.5
Pulsora,1863,"Madhya Pradesh, India",H5,560 g,23.36667,75.18333
Pultusk,1868,"Ostroleka, Poland",H5,250 kg,52.76667,21.26667
Punganaru,1811,"Andhra Pradesh, India",Stone-uncl,100 g,13.33333,78.95
Putinga,1937,"Rio Grande do Sul, Brazil",L6,300 kg,-29.03333,-53.05
Qidong,1982,"Jiangsu, China",L/LL5,1275 g,32.08333,121.5
Qingzhen,1976,"Guizhou, China",EH3,2.6 kg,26.53333,106.46667
Quedlinburg,1249,"Sachsen-Anhalt, Germany",Doubtful meteorite,,51.78333,11.13333
Queen's Mercy,1925,"Eastern Cape, South Africa",H6,7 kg,-30.11667,28.7
Quenggouk,1857,"Irrawaddy, Burma",H4,6.05 kg,17.76667,95.18333
Quesa,1898,"Valenciana, Spain","Iron, IAB-ung",10.75 kg,39,-0.66667
Quija,1990,"Jilin, China",H,17.45 kg,44.61667,126.13333
Quincay,1851,"Poitou-Charentes, France",L6,65 g,46.6,0.25
Raco,1957,"Tucuman, Argentina",H5,5 kg,-26.66667,-65.45
Raghunathpura,1986,"Rajasthan, India","Iron, IIAB",10.2 kg,27.72528,76.465
Rahimyar Khan,1983,"Punjab, Pakistan",L5,67.23 kg,28.225,70.2
Rakovka,1878,"Orlovskaya oblast', Russia",L6,9 kg,52.98333,37.03333
Ramnagar,1940,"Uttar Pradesh, India",L6,3.77 kg,26.45,82.9
Rampurhat,1916,"West Bengal, India",LL,100 g,24.16667,87.76667
Ramsdorf,1958,"Nordrhein-Westfalen, Germany",L6,4.68 kg,51.88333,6.93333
Ranchapur,1917,"Bihar, India",H4,290 g,23.98333,87.08333
Rancho de la Presa,1899,"Michoacan, Mexico",H5,300 g,19.86667,-100.81667
Rangala,1937,"Rajasthan, India",L6,3.22 kg,25.38333,72.01667
Raoyang,1919,"Hebei, China",L6,4.91 kg,38.2,115.7
Ras Tanura,1961,"Ash Sharqiyah, Saudi Arabia",H6,6.1 g,26.66667,50.15
Rasgrad,1740,"Razgrad, Bulgaria",Stone-uncl,24.7 kg,43.5,26.53333
Ratyn,1880,"Konin, Poland",Stone-uncl,910 g,52.2,17.98333
Red Canyon Lake,2007,"California, USA",H5,18.4 g,38.13742,-119.75812
Reliegos,1947,"Castilla y Leon, Spain",L5,17.3 kg,42.475,-5.33333
Rembang,1919,"Jawa Tengah, Indonesia","Iron, IVA",10 kg,-6.73333,111.36667
Renazzo,1824,"Emilia-Romagna, Italy",CR2,1000 g,44.76667,11.28333
Renca,1925,"San Luis, Argentina",L5,300 g,-32.75,-65.28333
Renqiu,1916,"Hebei, China",L6,355 g,38.66667,116.13333
Repeev Khutor,1933,"Astrakhanskaya oblast', Russia","Iron, IIF",7 kg,48.6,45.66667
Revelstoke,1965,"British Columbia, Canada",CI1,1 g,51.33333,-118.95
Rewari,1929,"Haryana, India",L6,3.33 kg,28.2,76.66667
Rich Mountain,1903,"North Carolina, USA",L6,668 g,35.03333,-83.03333
Richardton,1918,"North Dakota, USA",H5,90 kg,46.88333,-102.31667
Richland Springs,1980,"Texas, USA",OC,1900 g,31.25,-99.03333
Richmond,1828,"Virginia, USA",LL5,1800 g,37.46667,-77.5
Rio Mocoreta,1844,"Corrientes, Argentina",Doubtful meteorite,,-30.61667,-57.96667
Rio Negro,1934,"Parana, Brazil",L4,1310 g,-26.1,-49.8
Rivolta de Bassi,1491,"Lombardia, Italy",Stone-uncl,103.3 g,45.48333,9.51667
Roa,1438,"Castilla y Leon, Spain",Doubtful stone,,41.73333,-3.93333
Rochester,1876,"Indiana, USA",H6,340 g,41.08333,-86.28333
Rockhampton,1895,"Queensland, Australia",Stone-uncl,1641 g,-23.38333,150.51667
Roda,1871,"Aragon, Spain",Diogenite,400 g,42.3,0.55
Rodach,1775,"Bayern, Germany",Stone-uncl,2.9 kg,50.35,10.8
Rose City,1921,"Michigan, USA",H5,10.6 kg,44.51667,-83.95
Rowton,1876,"England, UK","Iron, IIIAB",3.5 kg,52.76667,-2.51667
Ruhobobo,1976,"Ruhengeri, Rwanda",L6,466 g,-1.45,29.83333
Rumuruti,1934,"Rift Valley, Kenya",R3.8-6,67 g,0.26667,36.53333
Rupota,1949,"Lindi, Tanzania",L4-6,6 kg,-10.26667,38.76667
Ruschany,1894,"Brest, Belarus",Doubtful meteorite,6 kg,52.88333,24.88333
Ryechki,1914,"Sumy, Ukraine",L5,13 kg,51.13333,34.5
Sabetmahet,1855,"Uttar Pradesh, India",H5,1250 g,27.43333,82.08333
Sabrum,1999,"Tripura, India",LL6,478 g,23.08333,91.66667
Sagan,1636,"Zielona Gora, Poland",Stone-uncl,,51.53333,14.88333
St. Caprais-de-Quinsac,1883,"Aquitaine, France",L6,360 g,44.75,0.05
St.-Chinian,1959,"Languedoc-Roussillon, France",L6,134.3 g,43.43333,2.95
St. Christophe-la-Chartreuse,1841,"Pays de la Loire, France",L6,5.5 kg,46.95,-1.5
St. Denis Westrem,1855,"Oost-Vlaanderen, Belgium",L6,700 g,51.05,3.75
St. Germain-du-Pinel,1890,"Bretagne, France",H6,4 kg,48.01667,-1.15
St. Louis,1950,"Missouri, USA",H4,1000 g,38.7,-90.23333
St. Mark's,1903,"Eastern Cape, South Africa",EH5,13.78 kg,-32.01667,27.41667
St. Mary's County,1919,"Maryland, USA",LL3.3,24.3 g,38.16667,-76.38333
St. Mesmin,1866,"Champagne-Ardenne, France",LL6,8.3 kg,48.45,3.93333
St. Michel,1910,"Mikkeli, Finland",L6,17 kg,61.65,27.2
Saint-Sauveur,1914,"Midi-Pyrenees, France",EH5,14 kg,43.73333,1.38333
Ste. Marguerite,1962,"Nord-Pas-de-Calais, France",H4,4.96 kg,50.76667,3
Sakauchi,1913,"Chubu, Japan",Iron,4.18 kg,35.66667,136.3
Sakurayama,1935,"Chubu, Japan",Doubtful Iron,0.8 g,35.16667,136.91667
Salem,1981,"Oregon, USA",L6,61.4 g,44.97917,-122.96944
Salles,1798,"Rhone-Alpes, France",L5,9 kg,46.05,4.63333
Salzwedel,1985,"Sachsen-Anhalt, Germany",LL5,43 g,52.75,11.05
Samelia,1921,"Rajasthan, India","Iron, IIIAB",2.46 kg,25.66667,74.86667
San Cerre de Mallorca,1958,"Isles Baleares, Spain",Doubtful meteorite,3.6 kg,39.58333,2.65
San Juan Capistrano,1973,"California, USA",H6,56 g,33.48472,-117.6625
San Michele,2002,"Marche, Italy",L6,237 g,43.66667,13
San Pedro de Quiles,1956,"Coquimbo, Chile",L6,282 g,-31.01667,-71.4
San Pedro Jacuaro,1968,"Michoacan, Mexico",LL6,460 g,19.76667,-100.65
Santa Barbara,1873,"Rio Grande do Sul, Brazil",L4,400 g,-29.2,-51.86667
Santa Cruz,1939,"Tamaulipas, Mexico",CM2,60 g,24.16667,-99.33333
Santa Isabel,1924,"Santa Fe, Argentina",L6,5.5 kg,-33.9,-61.7
Santa Lucia 2008,2008,"San Juan, Argentina",L6,4 kg,-31.535556,-68.489444
S‹o Jose do Rio Preto,1962,"Sao Paulo, Brazil",H4,927 g,-20.81,-49.38056
Saratov,1918,"Saratovskaya oblast', Russia",L4,200 kg,52.55,46.55
Sasagase,1704,"Chubu, Japan",H,695 g,34.71667,137.78333
Sauguis,1868,"Aquitaine, France",L6,4 kg,43.15,-0.85
Savtschenskoje,1894,"Odessa, Ukraine",LL4,2.5 kg,47.21667,29.86667
Sayama,1986,"Kanto, Japan",CM2,430 g,35.86667,139.4
Sazovice,1934,"Zl’nsk_, Czech Republic",L5,412 g,49.23333,17.56667
Schellin,1715,"Szczecin, Poland",L,7 kg,53.35,15.05
Schenectady,1968,"New York, USA",H5,283 g,42.86083,-73.95028
Schleusingen,1552,"Thuringen, Germany",Doubtful stone,,50.51667,10.76667
Sch_nenberg,1846,"Bayern, Germany",L6,8 kg,48.35,10.4
Searsmont,1871,"Maine, USA",H5,5.4 kg,44.36667,-69.2
Sedik_y,1917,"Izmir, Turkey",L6,240 g,38.3,27.13333
Segowlie,1853,"Bihar, India",LL6,6.93 kg,26.75,84.78333
Selakopi,1939,"Jawa Barat, Indonesia",H5,1590 g,-7.23333,107.33333
Seldebourak,1947,"Tamanghasset, Algeria",H5,150 g,22.83333,4.98333
Semarkona,1940,"Madhya Pradesh, India",LL3.00,691 g,22.25,79
Sena,1773,"Aragon, Spain",H4,4 kg,41.71667,-0.05
