Name,Year,Please,Type,Mass,Lat,Long
Blansko,1833,"Jihomoravsky, Czech Republic",H6,470 g,49.36667,16.63333
Bloomington,1938,"Illinois, USA",LL6,67.8 g,40.48,-89.00417
Bo Xian,1977,"Anhui, China",LL3.9,7.5 kg,33.83333,115.83333
Bocas,1804,"San Luis Potosi, Mexico",L6,56 g,23,-102
Bogou,1962,"Gourma?, Burkina Faso?","Iron, IAB-MG",8.8 kg,12.5,0.7
Boguslavka,1916,"Primorskiy kray, Russia","Iron, IIAB",256 kg,44.55,131.63333
Borgo San Donino,1808,"Emilia-Romagna, Italy",LL6,1676 g,44.86667,10.05
Bori,1894,"Madhya Pradesh, India",L6,8.6 kg,21.95,78.03333
Boriskino,1930,"Orenburgskaya oblast', Russia",CM2,1342 g,54.23333,52.48333
Borkut,1852,"Zakarpats'ka, Ukraine",L5,7 kg,48.15,24.28333
Borodino,1812,"Moskovskaya oblast', Russia",H5,500 g,55.46667,35.86667
Botschetschki,1823,"Sumy, Ukraine",L4,614 g,51.33333,33.88333
Boumdeid 2003,2003,"Tagant, Mauritania",L6,190 g,17.71067,-11.3715
Boumdeid 2011,2011,"Assaba, Mauritania",L6,3.6 kg,17.17493,-11.34133
Bovedy,1969,"Northern Ireland, UK",L3,5.46 kg,54.56667,-6.33333
Bradford Woods,1886,"Pennsylvania, USA",L,762 g,40.5,-80.08333
Braunau,1847,"Kr‡lov_hradeck_, Czech Republic","Iron, IIAB",39 kg,50.6,16.3
Braunschweig,2013,"Niedersachsen, Germany",L6,1300 g,52.2258,10.51988
Breitscheid,1956,"Hessen, Germany",H5,1500 g,50.66694,8.18361
Bremerv_rde,1855,"Niedersachsen, Germany",H/L3.9,7.25 kg,53.4,9.1
Brianza,1760,"Lombardia, Italy",Pseudometeorite,14 g,45.75,9.25
Brient,1933,"Orenburgskaya oblast', Russia",Eucrite-pmict,219 g,52.13333,59.31667
Bruderheim,1960,"Alberta, Canada",L6,303 kg,53.9,-112.88333
Brussels,1520,"Bruxelles-Brussel, Belgium",Doubtful stone,,50.86667,4.36667
Bukhara,2001,"Bukhara, Uzbekistan",CV3,5.3 kg,39.77978,64.60035
Bulls Run,1964,South Africa,Iron?,2.25 kg,,
Bunburra Rockhole,2007,"South Australia, Australia",Eucrite,324 g,-31.35,129.19
Bununu,1942,"Bauchi, Nigeria",Howardite,357 g,10.01667,9.58333
Bur-Gheluai,1919,"Mudug, Somalia",H5,120 kg,5,48
Burnwell,1990,"Kentucky, USA",H4-an,1504 g,37.62194,-82.23722
Bursa,1946,"Bursa, Turkey",L6,25 kg,40.2,29.23333
Buschhof,1863,Latvia,L6,5 kg,46.45,25.78333
Bustee,1852,"Uttar Pradesh, India",Aubrite,1500 g,26.78333,82.83333
Butsura,1861,"Bihar, India",H6,29 kg,27.08333,84.08333
Buzzard Coulee,2008,"Saskatchewan, Canada",H4,41 kg,52.996,-109.84817
Cabezo de Mayo,1870,"Murcia, Spain",L/LL6,25 kg,37.98333,-1.16667
Cabin Creek,1886,"Arkansas, USA","Iron, IIIAB",48.5 kg,35.5,-93.5
Cacak,1919,"Serbia, Serbia and Montenegro",OC,212 g,43.83889,20.33333
Calce,1635,"Veneto, Italy",Doubtful stone,350 g,45.5,11.5
Cali,2007,"Valle del Cauca, Colombia",H/L4,478 g,3.405,-76.51
Calivo,1916,"Western Visayas, Philippines",Stone-uncl,2.4 kg,11.75,122.33333
Campos Sales,1991,"Ceara, Brazil",L5,23.68 kg,-7.03333,-40.16667
‚anakkale,1964,"Canakkale, Turkey",L6,4 kg,39.8,26.6
Ca–ellas,1861,"Cataluna, Spain",H4,945 g,41.25,1.66667
Cangas de Onis,1866,"Asturias, Spain",H5,34 kg,43.38333,-5.15
Canon City,1973,"Colorado, USA",H6,1400 g,38.47028,-105.24139
Cape Girardeau,1846,"Missouri, USA",H6,2.3 kg,37.26667,-89.58333
Capilla del Monte,1934,"Cordoba, Argentina",H6,750 g,-30.88333,-64.55
Carancas,2007,"Puno, Peru",H4-5,342 g,-16.66444,-69.04389
Caratash,1902,"Izmir, Turkey",LL6,8 g,38.5,27
Cardiff,1842,"Wales, UK",Doubtful stone,,51.46667,-3.16667
Carlstadt,1822,"Varmlands, Sweden",Pseudometeorite,,59.36667,13.51667
Carpentras,1738,"Provence-Alpes-Cote d'Azur, France",Doubtful meteorite,,44.05,5.05
Castalia,1874,"North Carolina, USA",H5,7.3 kg,36.08333,-78.06667
Castel Berardenga,1791,"Toscana, Italy",Stone-uncl,,43.35,11.5
Castine,1848,"Maine, USA",L6,94 g,44.38333,-68.75
Castrovillari,1583,"Calabria, Italy",Stone-uncl,15 kg,39.8,16.2
Caswell County,1810,"North Carolina, USA",OC,1360 g,36.5,-79.25
Ceniceros,1988,"Durango, Mexico",L3.7,1025 g,26.46667,-105.23333
Centerville,1956,"South Dakota, USA",H5,45.6 g,43.2,-96.91667
Cereseto,1840,"Piemonte, Italy",H5,6.46 kg,45.08333,8.3
Chadong,1998,"Hunan, China",L6,3.7 kg,28.53333,109.31667
Chail,1814,"Uttar Pradesh, India",H6,0.5 g,25.36667,81.66667
Chainpur,1907,"Uttar Pradesh, India",LL3.4,8.2 kg,25.85,83.48333
Chajari,1933,"Entre Rios, Argentina",L5,18.3 kg,-30.78333,-58.05
