Name,Fall,Year,Place,Type,Mass,Lat, Long,
Sierra Blanca,FALSE,1784,"Chihuahua, Mexico","Iron, IAB?",405 g,-86.71667,-141.5,
Eichst_dt,TRUE,1785,"Bayern, Germany",H5,3 kg,-86.71667,-141.5,
Kharkov,TRUE,1787,"Sumy, Ukraine",L6,1500 g,-86.71667,-141.5,
Barbotan,TRUE,1790,"Aquitaine, France",H5,6.4 kg,-86.71667,-141.5,
Castel Berardenga,TRUE,1791,"Toscana, Italy",Stone-uncl,,-86.71667,-141.5,
Zacatecas 1792,FALSE,1792,"Zacatecas, Mexico","Iron, ungrouped",1 t,-86.71667,-141.5,
Cape of Good Hope,FALSE,1793,"Eastern Cape, South Africa","Iron, IVB",136 kg,-86.71667,-141.5,
Siena,TRUE,1794,"Toscana, Italy",LL5,3.7 kg,-86.71667,-141.5,
Mulletiwu,TRUE,1795,"Northern, Sri Lanka",L,25.5 g,-86.71667,-141.5,
Wold Cottage,TRUE,1795,"England, UK",L6,25 kg,-86.71667,-141.5,
Bjelaja Zerkov,TRUE,1796,"Kiev, Ukraine",H6,1850 g,-86.71667,-141.5,
Portugal,TRUE,1796,"Evora, Portugal",Stone-uncl,4.5 kg,-86.71667,-141.5,
Prambanan,FALSE,1797,"Jawa Tengah, Indonesia","Iron, ungrouped",500 kg,-86.71667,-141.5,
Benares a,TRUE,1798,"Uttar Pradesh, India",LL4,3.7 kg,-86.71667,-141.5,
Salles,TRUE,1798,"Rhone-Alpes, France",L5,9 kg,-86.71667,-141.5,
Northwest Africa 316,FALSE,2001,(Northwest Africa),Unknown,60.3 g,-86.36667,-70,
Northwest Africa 2411,FALSE,1942,(Northwest Africa),Unknown,,-86.36667,-70,
Jiddat al Harasis 736,FALSE,1874,"Al Wusta, Oman",L4,24.7 g,-85.69357,-67.63729,
Northwest Africa 907,FALSE,1868,(Northwest Africa),Unknown,2.1 kg,-85.66667,175,
Northwest Africa 219,FALSE,1803,(Northwest Africa),Unknown,348 g,-85.66667,175,
Bunburra 000,FALSE,1983,Australia,Reserved,,-84.52961,-62.37571,
Northwest Africa 325,FALSE,1815,(Northwest Africa),Unknown,155 g,-84.25687,161.37053,
Dhofar 1258,FALSE,1869,Oman,Unknown,,-84.21667,160.5,
Dhofar 1259,FALSE,1889,Oman,Unknown,,-84,168,
Mauritius**,TRUE,1801,Mauritius,LL5-6,220 g,-86.71667,-141.5,
Woorlba 000,FALSE,2003,Australia,Reserved,,-86.71667,-141.5,
Madura 000,FALSE,1909,Australia,Reserved,,-85.16345,-94.59088,
Northwest Africa 5589,FALSE,1916,(Northwest Africa),Unknown,64.8 g,-84.7916,-61.88361,
